Date;OPEN_PRC;HIGH_1;LOW_1;TRDPRC_1;TRNOVR_UNS
2023-11-08;162.0;165.6;160.0;165.6;7031.5
2023-11-09;164.0;164.0;164.0;164.0;20.5
2023-11-14;141.2;141.2;141.2;141.2;635.4
2023-11-15;135.2;142.8;135.2;142.8;20592.572
2023-11-20;132.4;132.4;132.4;132.4;198.6
2023-11-24;124.6;128.0;124.6;128.0;5033.728
2023-11-27;125.6;125.6;125.6;125.6;4396.0
2023-11-30;118.0;118.0;118.0;118.0;119.593
2023-12-01;137.0;139.8;131.8;139.8;18077.6
2023-12-04;132.8;132.8;132.8;132.8;1320.0984
2023-12-06;137.0;137.0;137.0;137.0;2055.0
2023-12-07;137.0;137.0;117.0;117.0;16579.9425
2023-12-08;100.4;101.0;98.6;100.0;21834.0665
2023-12-11;102.4;102.4;102.4;102.4;5.12
2023-12-12;90.0;91.4;90.0;91.4;385.65
2023-12-13;82.6;82.6;82.6;82.6;206.5
2023-12-14;80.0;81.0;80.0;81.0;184.3
2023-12-15;80.0;80.0;80.0;80.0;28.0
2023-12-27;70.0;70.0;69.4;69.4;192.13
2023-12-29;62.4;63.6;62.4;63.6;23424.496
2024-01-02;65.6;77.2;65.6;77.2;107562.479
2024-01-03;82.0;82.0;82.0;82.0;123.0
2024-01-05;80.0;80.0;80.0;80.0;800.0
2024-01-10;60.0;60.2;59.6;59.8;2615.18
2024-01-11;62.0;62.0;60.6;60.6;126.4
2024-01-16;62.2;62.2;47.6;48.0;8529.0878
2024-01-17;49.8;50.8;47.2;50.6;6728.8336
2024-01-18;44.8;44.8;40.0;40.0;82606.0
2024-01-19;43.2;43.2;43.2;43.2;21.6
2024-01-22;34.4;40.8;34.4;40.8;2415.9
2024-01-24;36.2;37.0;32.8;32.8;29386.1385
2024-01-25;31.6;31.6;29.0;31.0;35224.0824
2024-01-26;35.0;35.0;30.8;30.8;4225.0
2024-01-29;31.2;31.2;31.2;31.2;2340.0
2024-01-30;32.4;33.0;31.8;33.0;10036.0065
2024-01-31;43.6;43.8;38.0;39.6;57310.3994
2024-02-01;37.2;39.0;36.6;38.2;12561.6285
2024-02-02;33.4;34.6;33.2;33.8;4014.1245
2024-02-05;32.0;32.2;31.2;32.2;66367.9141
2024-02-06;34.8;36.0;34.8;36.0;11670.0
2024-02-07;37.8;37.8;34.8;35.6;14495.7412
2024-02-09;34.0;34.0;34.0;34.0;629.0
2024-02-12;34.4;34.4;32.0;32.0;617.8
2024-02-13;36.2;39.0;36.2;37.2;56944.784
2024-02-14;32.4;32.4;32.4;32.4;1752.84
2024-02-16;31.0;33.0;31.0;33.0;3887.1
2024-02-19;33.6;33.8;33.6;33.8;675.18
2024-02-22;30.4;30.4;25.6;25.6;971.3
2024-02-23;27.2;28.2;26.6;28.2;575.2
2024-02-26;29.0;29.2;29.0;29.2;150.35
2024-03-01;20.2;20.2;18.4;18.4;1348.93
2024-03-04;17.6;18.2;16.2;16.2;1581.78
2024-03-05;18.6;18.6;17.2;18.4;3073.88
2024-03-06;16.4;16.4;15.4;15.4;14746.4416
